Type	Accession	Unique Name
Sample	ERS5446317 (SAMEA7689790) 	BTP_171
Sample	ERS5446318 (SAMEA7689791) 	BTP_173
Sample	ERS5446319 (SAMEA7689792) 	BTP_174
Sample	ERS5446320 (SAMEA7689793) 	BTP_175
Sample	ERS5446321 (SAMEA7689794) 	BTP_176
Sample	ERS5446322 (SAMEA7689795) 	BTP_177
Sample	ERS5446323 (SAMEA7689796) 	BTP_178
Sample	ERS5446324 (SAMEA7689797) 	BTP_179
Sample	ERS5446325 (SAMEA7689798) 	BTP_18
Sample	ERS5446326 (SAMEA7689799) 	BTP_180
Sample	ERS5446327 (SAMEA7689800) 	BTP_181
Sample	ERS5446328 (SAMEA7689801) 	BTP_182
Sample	ERS5446329 (SAMEA7689802) 	BTP_183
Sample	ERS5446330 (SAMEA7689803) 	BTP_184
Sample	ERS5446331 (SAMEA7689804) 	BTP_185
Sample	ERS5446332 (SAMEA7689805) 	BTP_186
Sample	ERS5446333 (SAMEA7689806) 	BTP_187
Sample	ERS5446334 (SAMEA7689807) 	BTP_188
Sample	ERS5446335 (SAMEA7689808) 	BTP_189
Sample	ERS5446336 (SAMEA7689809) 	BTP_19
Sample	ERS5446337 (SAMEA7689810) 	BTP_190
Sample	ERS5446338 (SAMEA7689811) 	BTP_191
Sample	ERS5446339 (SAMEA7689812) 	BTP_192
Sample	ERS5446340 (SAMEA7689813) 	BTP_20
Sample	ERS5446341 (SAMEA7689814) 	BTP_21
Sample	ERS5446342 (SAMEA7689815) 	BTP_22
Sample	ERS5446343 (SAMEA7689816) 	BTP_23
Sample	ERS5446344 (SAMEA7689817) 	BTP_24
Sample	ERS5446345 (SAMEA7689818) 	BTP_246
Sample	ERS5446346 (SAMEA7689819) 	BTP_247
Sample	ERS5446347 (SAMEA7689820) 	BTP_248
Sample	ERS5446348 (SAMEA7689821) 	BTP_249
Sample	ERS5446349 (SAMEA7689822) 	BTP_25
Sample	ERS5446350 (SAMEA7689823) 	BTP_250
Sample	ERS5446351 (SAMEA7689824) 	BTP_251
Sample	ERS5446352 (SAMEA7689825) 	BTP_26
Sample	ERS5446353 (SAMEA7689826) 	BTP_260
Sample	ERS5446354 (SAMEA7689827) 	BTP_261
Sample	ERS5446355 (SAMEA7689828) 	BTP_262
Sample	ERS5446356 (SAMEA7689829) 	BTP_263
Sample	ERS5446357 (SAMEA7689830) 	BTP_264
Sample	ERS5446358 (SAMEA7689831) 	BTP_265
Sample	ERS5446359 (SAMEA7689832) 	BTP_27
Sample	ERS5446360 (SAMEA7689833) 	BTP_28
Sample	ERS5446361 (SAMEA7689834) 	BTP_29
Sample	ERS5446362 (SAMEA7689835) 	BTP_30
Sample	ERS5446363 (SAMEA7689836) 	BTP_30.1
Sample	ERS5446364 (SAMEA7689837) 	BTP_30.2
Sample	ERS5446365 (SAMEA7689838) 	BTP_43
Sample	ERS5446366 (SAMEA7689839) 	BTP_44
Sample	ERS5446367 (SAMEA7689840) 	BTP_45
Sample	ERS5446368 (SAMEA7689841) 	BTP_100
Sample	ERS5446369 (SAMEA7689842) 	BTP_101
Sample	ERS5446370 (SAMEA7689843) 	BTP_102
Sample	ERS5446371 (SAMEA7689844) 	BTP_103
Sample	ERS5446372 (SAMEA7689845) 	BTP_154
Sample	ERS5446373 (SAMEA7689846) 	BTP_155
Sample	ERS5446374 (SAMEA7689847) 	BTP_156
Sample	ERS5446375 (SAMEA7689848) 	BTP_157
Sample	ERS5446376 (SAMEA7689849) 	BTP_158
Sample	ERS5446377 (SAMEA7689850) 	BTP_159
Sample	ERS5446378 (SAMEA7689851) 	BTP_160
Sample	ERS5446379 (SAMEA7689852) 	BTP_161
Sample	ERS5446380 (SAMEA7689853) 	BTP_162
Sample	ERS5446381 (SAMEA7689854) 	BTP_163
Sample	ERS5446382 (SAMEA7689855) 	BTP_164
Sample	ERS5446383 (SAMEA7689856) 	BTP_193
Sample	ERS5446384 (SAMEA7689857) 	BTP_194
Sample	ERS5446385 (SAMEA7689858) 	BTP_195
Sample	ERS5446386 (SAMEA7689859) 	BTP_196
Sample	ERS5446387 (SAMEA7689860) 	BTP_197
Sample	ERS5446388 (SAMEA7689861) 	BTP_198
Sample	ERS5446389 (SAMEA7689862) 	BTP_199
Sample	ERS5446390 (SAMEA7689863) 	BTP_200
Sample	ERS5446391 (SAMEA7689864) 	BTP_201
Sample	ERS5446392 (SAMEA7689865) 	BTP_202
Sample	ERS5446393 (SAMEA7689866) 	BTP_203
Sample	ERS5446394 (SAMEA7689867) 	BTP_204
Sample	ERS5446395 (SAMEA7689868) 	BTP_205
Sample	ERS5446396 (SAMEA7689869) 	BTP_206
Sample	ERS5446397 (SAMEA7689870) 	BTP_207
Sample	ERS5446398 (SAMEA7689871) 	BTP_208
Sample	ERS5446399 (SAMEA7689872) 	BTP_209
Sample	ERS5446400 (SAMEA7689873) 	BTP_210
Sample	ERS5446401 (SAMEA7689874) 	BTP_211
Sample	ERS5446402 (SAMEA7689875) 	BTP_212
Sample	ERS5446403 (SAMEA7689876) 	BTP_213
Sample	ERS5446404 (SAMEA7689877) 	BTP_214
Sample	ERS5446405 (SAMEA7689878) 	BTP_215
Sample	ERS5446406 (SAMEA7689879) 	BTP_216
Sample	ERS5446407 (SAMEA7689880) 	BTP_217
Sample	ERS5446408 (SAMEA7689881) 	BTP_218
Sample	ERS5446409 (SAMEA7689882) 	BTP_219
Sample	ERS5446410 (SAMEA7689883) 	BTP_220
Sample	ERS5446411 (SAMEA7689884) 	BTP_221
Sample	ERS5446412 (SAMEA7689885) 	BTP_222
Sample	ERS5446413 (SAMEA7689886) 	BTP_223
Sample	ERS5446414 (SAMEA7689887) 	BTP_224
Sample	ERS5446415 (SAMEA7689888) 	BTP_225
Sample	ERS5446416 (SAMEA7689889) 	BTP_227
Sample	ERS5446417 (SAMEA7689890) 	BTP_228
Sample	ERS5446418 (SAMEA7689891) 	BTP_229
Sample	ERS5446419 (SAMEA7689892) 	BTP_230
Sample	ERS5446420 (SAMEA7689893) 	BTP_231
Sample	ERS5446421 (SAMEA7689894) 	BTP_232
Sample	ERS5446422 (SAMEA7689895) 	BTP_233
Sample	ERS5446423 (SAMEA7689896) 	BTP_234
Sample	ERS5446424 (SAMEA7689897) 	BTP_235
Sample	ERS5446425 (SAMEA7689898) 	BTP_236
Sample	ERS5446426 (SAMEA7689899) 	BTP_237
Sample	ERS5446427 (SAMEA7689900) 	BTP_238
Sample	ERS5446428 (SAMEA7689901) 	BTP_239
Sample	ERS5446429 (SAMEA7689902) 	BTP_240
Sample	ERS5446430 (SAMEA7689903) 	BTP_241
Sample	ERS5446431 (SAMEA7689904) 	BTP_242
Sample	ERS5446432 (SAMEA7689905) 	BTP_243
Sample	ERS5446433 (SAMEA7689906) 	BTP_244
Sample	ERS5446434 (SAMEA7689907) 	BTP_245
Sample	ERS5446435 (SAMEA7689908) 	BTP_252
Sample	ERS5446436 (SAMEA7689909) 	BTP_253
Sample	ERS5446437 (SAMEA7689910) 	BTP_254
Sample	ERS5446438 (SAMEA7689911) 	BTP_255
Sample	ERS5446439 (SAMEA7689912) 	BTP_256
Sample	ERS5446440 (SAMEA7689913) 	BTP_257
Sample	ERS5446441 (SAMEA7689914) 	BTP_258
Sample	ERS5446442 (SAMEA7689915) 	BTP_259
