"otu.names" "W_stat" "W_f" "Adult_relAbund" "Eggs_relAbund" "Metamorph_relAbund" "Sediment_relAbund" "Soil_relAbund" "Subadult_relAbund" "Tadpole_relAbund" "Water_relAbund" "detected_wcrit" "detected_0.9" "detected_0.8" "detected_0.7" "detected_0.6" "effSize_statcrit" "effSize_0.9" "effSize_0.8" "effSize_0.7" "effSize_0.6"
"37" "Fungi.Ascomycota.Eurotiomycetes.Eurotiales.Aspergillaceae.Penicillium.Penicillium_chrysogenumOTU_54" 45 3.34813386708252 0 0 0.00153846153846154 0 0 0 0 0 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"32" "Fungi.Ascomycota.Dothideomycetes.Dothideales.Dothioraceae.unidentified.unidentifiedOTU_58" 44 7.19363029890675 0.0102754777349999 0 0 0 0 0 0 0 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE FALSE TRUE
"51" "Fungi.Ascomycota.Dothideomycetes.Capnodiales.NA.NA.NAOTU_6369" 44 5.89628438526681 0.00284511416854723 0 0 0 0 0 0 0 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"24" "Fungi.Basidiomycota.Microbotryomycetes.unidentified.unidentified.unidentified.unidentifiedOTU_5584" 44 5.62585239842203 0.00219037243197715 0 0 0 0 0 0 0 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"34" "Fungi.Ascomycota.Dothideomycetes.Myriangiales.Myriangiales_fam_Incertae_sedis.Endosporium.unidentifiedOTU_172" 43 11.8051376768877 0.010530679933665 0 0 0 0 0 0 0 TRUE FALSE TRUE TRUE TRUE FALSE TRUE TRUE TRUE TRUE
"22" "Fungi.Ascomycota.Leotiomycetes.Helotiales.Helotiaceae.Mycofalcella.Mycofalcella_calcarataOTU_14" 43 9.69623751929602 0 0 0 0.00630914826498423 0 0 0 0 TRUE FALSE TRUE TRUE TRUE FALSE FALSE TRUE TRUE TRUE
"12" "Fungi.Ascomycota.Leotiomycetes.Helotiales.Leotiaceae.Neobulgaria.Neobulgaria_puraOTU_177" 43 7.19390172574131 0 0.00186164296836234 0 0.00200400801603206 0 0 0 0 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE TRUE TRUE
"18" "Fungi.Ascomycota.Sordariomycetes.Hypocreales.unidentified.unidentified.unidentifiedOTU_81" 43 7.08271853962767 0 0.00915144248680797 0 0.00483870967741936 0 0 0 0 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE FALSE TRUE
"1" "Fungi.Ascomycota.Leotiomycetes.Helotiales.Hyaloscyphaceae.Pezizella.Pezizella_epithallinaOTU_3" 43 4.30561709810802 0.00103950103950104 0 0 0.0396659707724426 0 0 0 0.000829187396351575 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"26" "Fungi.Ascomycota.Dothideomycetes.Pleosporales.Phaeosphaeriaceae.Sclerostagonospora.Sclerostagonospora_phragmiticolaOTU_76" 43 3.545153523127 0.00363375177178554 0 0 0 0 0 0 0 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"49" "Fungi.Ascomycota.Dothideomycetes.Pleosporales.Phaeosphaeriaceae.Neosetophoma.Neosetophoma_samararumOTU_272" 43 3.1353535667286 0.000691562932226833 0 0 0 0 0.00664451827242525 0 0 TRUE FALSE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
