otu.names	W_stat	W_f	Environment_relAbund	Toad_relAbund	detected_wcrit	detected_0.9	detected_0.8	detected_0.7	detected_0.6	effSize_statcrit	effSize_0.9	effSize_0.8	effSize_0.7	effSize_0.6	Enriched
36	OTU_256	13	8.82381284357192	NA	0.0240394729471875	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
37	OTU_19	13	8.81903617424322	NA	0.00946304747163007	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
38	OTU_14	12	11.0748333238264	NA	0.0104770123908699	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
39	OTU_166	11	11.5329971880357	NA	0.0116405635586538	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
40	OTU_484	11	10.3014462016735	NA	0.0107428329785509	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
41	OTU_3576	10	9.89053099161088	NA	0.0156098947052376	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
42	OTU_377	10	9.1977218134225	NA	0.00738483724934049	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
43	OTU_319	10	9.15162086291069	NA	0.0138677542800533	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
44	OTU_324	10	7.64123739248173	NA	0.0160012757496159	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
45	OTU_255	9	7.57695389812466	NA	0.00229643986123106	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
46	OTU_30	9	7.30258175197088	NA	0.0147733803873799	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
47	OTU_6722	9	5.71919762425079	NA	0.00283166256709027	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
48	OTU_143	8	10.3439464337517	NA	0.0131444517236968	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
49	OTU_5584	6	4.24098402985895	NA	0.00190391077347471	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
50	OTU_272	6	0.28872682539155	NA	0.00150365792714365	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
51	OTU_148	6	0.0714110026074775	NA	0.00130656693431057	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
52	OTU_137	5	7.69884028138412	NA	0.0359951115576789	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
