otu.names	W_stat	W_f	Environment_relAbund	Toad_relAbund	detected_wcrit	detected_0.9	detected_0.8	detected_0.7	detected_0.6	effSize_statcrit	effSize_0.9	effSize_0.8	effSize_0.7	effSize_0.6
20	k__Fungi..NA..NA..NA..NA..NA..NA..OTU_52	26	9.35055663519204	0.0183861689288896	0.00855927544327514	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
45	k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Filobasidiales..f__Piskurozymaceae..g__Solicoccozyma..s__Solicoccozyma_terricola..OTU_83	26	6.1186074426091	0.00355573456805171	0.00219621087004157	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
40	k__Fungi..NA..NA..NA..NA..NA..NA..OTU_377	26	6.00852578947026	0.00921829597559883	0.00535425243575517	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
25	Unclassified..NA..NA..NA..NA..NA..NA..OTU_114	26	1.6333100596159	0.00208153538045971	0.0041942424256454	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
49	k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Dothideales..f__Dothioraceae..g__Hormonema..s__Hormonema_macrosporum..OTU_40	25	3.54525786811834	0.000386004877785383	0.012904838641037	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
21	k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Schizophyllaceae..g__Schizophyllum..s__Schizophyllum_commune..OTU_7180	23	4.29281153807705	0.0146890959159077	0.0567070129477372	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
28	k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__unidentified..f__unidentified..g__unidentified..s__unidentified..OTU_5584	23	0.321523217188235	0.000491197918034426	0.00202013345947207	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
24	k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Chaetothyriales_fam_Incertae_sedis..g__Sarcinomyces..s__Sarcinomyces_crustaceus..OTU_16	22	1.45573173836899	0.000618889190194846	0.00647187880499283	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
39	k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Sporidiobolales..f__Sporidiobolaceae..g__Rhodosporidiobolus..s__Rhodosporidiobolus_colostri..OTU_6281	20	2.80661730852406	0.00419712677108796	0.0183483238442858	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
32	k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Dothideales..f__unidentified..g__unidentified..s__unidentified..OTU_151	20	1.40295643240551	0.00086746254175053	0.0039314604481662	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
