otu.names	W_stat	W_f	Ecol
Fungi.Ascomycota.Dothideomycetes.Pleosporales.Phaeosphaeriaceae.Phaeosphaeria.Phaeosphaeria_silenes.acaulisOTU_84	11	2.592374909	"Transient, not significant"
Fungi.Ascomycota.Leotiomycetes.Thelebolales.Pseudeurotiaceae.Pseudeurotium.NAOTU_30	11	1.488910231	"Transient, not significant"
Fungi.Ascomycota.Saccharomycetes.Saccharomycetales.Saccharomycetaceae.Zygosaccharomyces.Zygosaccharomyces_rouxiiOTU_903	11	0.14908543	"Transient, not significant"
Fungi.Ascomycota.Dothideomycetes.Pleosporales.Pleosporaceae.Alternaria.NAOTU_21	10	1.153706296	"Transient, not significant"
Fungi.Ascomycota.Orbiliomycetes.Orbiliales.Orbiliaceae.Dactylaria.Dactylaria_dimorphosporaOTU_36	10	0.400964321	"Transient, not significant"
Fungi.Basidiomycota.Agaricomycetes.Thelephorales.Thelephoraceae.Tomentella.unidentifiedOTU_19	9	2.063111379	"Transient, not significant"
Fungi.Ascomycota.Eurotiomycetes.Eurotiales.Aspergillaceae.Penicillium.NAOTU_95	9	0.500478131	"Transient, not significant"
Fungi.Ascomycota.Dothideomycetes.Pleosporales.Phaeosphaeriaceae.Sclerostagonospora.Sclerostagonospora_phragmiticolaOTU_76	7	0.057321197	"Transient, not significant"
Fungi.Ascomycota.Dothideomycetes.Pleosporales.Phaeosphaeriaceae.Phaeosphaeria.Phaeosphaeria_silenes.acaulisOTU_6105	6	0.120278001	"Transient, not significant"
Fungi.Ascomycota.Eurotiomycetes.Eurotiales.Aspergillaceae.Penicillium.Penicillium_chrysogenumOTU_54	5	0.3465291	"Transient, not significant"
Fungi.Ascomycota.Dothideomycetes.Pleosporales.Phaeosphaeriaceae.unidentified.unidentifiedOTU_11	4	0.718557109	"Transient, not significant"
